"","title","mon","c"
"73","地方高温注意情報","2013/07/01",88
"74","気象警報・注意報","2014/03/01",4012
"75","全般潮位情報","2013/08/01",3
"76","全般１か月予報","2013/10/01",5
"77","地震の活動状況等に関する情報","2013/09/01",1
"78","土砂災害警戒情報","2013/04/01",14
"79","地震の活動状況等に関する情報","2013/02/01",3
"80","府県潮位情報","2014/02/01",2
"81","噴火に関する火山観測報","2014/06/01",100
"82","東海地震観測情報","2014/01/01",1
"83","震源・震度に関する情報","2013/03/01",159
"84","全般潮位情報","2013/06/01",2
"85","竜巻注意情報","2013/03/01",48
"86","噴火に関する火山観測報","2014/03/01",135
"87","生物季節観測","2013/07/01",178
"88","全般台風情報（詳細）","2014/07/01",29
"89","台風解析・予報情報（５日予報）","2013/10/01",111
"90","震源・震度に関する情報","2014/04/01",156
"91","震源に関する情報","2013/12/01",23
"92","全般１か月予報","2014/05/01",5
"93","竜巻注意情報","2014/04/01",14
"94","気象特別警報・警報・注意報","2013/10/01",3621
"95","震源・震度に関する情報","2013/11/01",192
"96","特殊気象報","2013/10/01",380
"97","府県高温注意情報","2013/05/01",1
"98","竜巻注意情報","2013/11/01",158
"99","震度速報","2013/06/01",17
"100","地方気象情報","2014/01/01",73
"101","全般気象情報","2014/05/01",5
"102","噴火に関する火山観測報","2013/04/01",31
"103","全般海上警報（臨時）","2014/07/01",29
"104","異常天候早期警戒情報","2013/06/01",31
"105","地方海上予報","2013/06/01",722
"106","府県天気予報","2014/01/01",5807
"107","地方１か月予報","2013/08/01",55
"108","地方天候情報","2013/04/01",3
"109","全般３か月予報","2013/05/01",1
"110","台風解析・予報情報（３日予報）","2014/04/01",81
"111","全般台風情報（詳細）","2013/09/01",12
"112","全般海上警報（定時）","2013/11/01",120
"113","紫外線観測データ","2013/08/01",527
"114","JMAXML publishing feed","2013/11/01",10895
"115","スモッグ気象情報","2014/05/01",18
"116","気象警報・注意報","2012/12/01",38
"117","全般海上警報（定時）","2014/04/01",121
"118","全般海上警報（臨時）","2013/09/01",67
"119","地方潮位情報","2013/08/01",11
"120","府県潮位情報","2013/07/01",25
"121","JMAXML publishing feed","2014/04/01",9571
"122","全般天候情報","2013/08/01",4
"123","全般海上警報（定時）","2013/03/01",121
"124","季節観測","2013/09/01",2
"125","全般スモッグ気象情報","2013/08/01",5
"126","季節観測","2013/02/01",1
"127","地方天候情報","2014/06/01",11
"128","生物季節観測","2014/02/01",78
"129","台風解析・予報情報（３日予報）","2013/11/01",154
"130","JMAXML publishing feed","2013/03/01",11048
"131","記録的短時間大雨情報","2013/10/01",3
"132","全般週間天気予報","2014/06/01",31
"133","地方週間天気予報","2014/06/01",667
"134","火山の状況に関する解説情報","2014/03/01",15
"135","全般天候情報","2013/06/01",2
"136","東海地震観測情報","2013/01/01",1
"137","震源に関する情報","2014/07/01",7
"138","全般週間天気予報","2014/03/01",39
"139","地方週間天気予報","2014/03/01",689
"140","火山の状況に関する解説情報","2014/06/01",15
"141","地方潮位情報","2013/06/01",5
"142","顕著な地震の震源要素更新のお知らせ","2014/07/01",2
"143","津波警報・注意報・予報a","2013/04/01",3
"144","府県天候情報","2013/11/01",5
"145","指定河川洪水予報","2013/10/01",51
"146","生物季節観測","2013/05/01",161
"147","地方気象情報","2013/01/01",140
"148","火山の状況に関する解説情報","2013/04/01",17
"149","府県高温注意情報","2013/07/01",541
"150","紫外線観測データ","2013/06/01",510
"151","全般３か月予報","2014/02/01",1
"152","地震の活動状況等に関する情報","2014/07/01",3
"153","府県天気予報","2013/01/01",5825
"154","季節観測","2013/12/01",63
"155","全般週間天気予報","2013/04/01",31
"156","地方週間天気予報","2013/04/01",645
"157","地方海上予報","2013/09/01",723
"158","地方海上警報","2014/04/01",819
"159","地方海上予報","2013/02/01",677
"160","府県天気概況","2013/03/01",6409
"161","指定河川洪水予報","2013/04/01",37
"162","府県天気予報","2013/07/01",6782
"163","異常天候早期警戒情報","2013/02/01",3
"164","顕著な地震の震源要素更新のお知らせ","2013/08/01",1
"165","特殊気象報","2012/12/01",10
"166","異常天候早期警戒情報","2013/09/01",24
"167","津波警報・注意報・予報a","2013/10/01",3
"168","地方海上警報","2013/03/01",1094
"169","震度速報","2013/02/01",43
"170","震度速報","2013/09/01",20
"171","震源に関する情報","2013/08/01",18
"172","府県天気概況","2014/04/01",6371
"173","地方気象情報","2013/07/01",263
"174","スモッグ気象情報","2014/06/01",24
"175","指定河川洪水予報","2014/03/01",4
"176","府県天気概況","2013/11/01",6394
"177","生物季節観測","2014/01/01",51
"178","全般週間天気予報","2013/10/01",42
"179","地方週間天気予報","2013/10/01",682
"180","地方海上警報","2013/11/01",977
"181","全般潮位情報","2013/02/01",2
"182","指定河川洪水予報","2014/06/01",16
"183","地震の活動状況等に関する情報","2013/08/01",1
"184","地方１か月予報","2013/12/01",44
"185","全般潮位情報","2013/09/01",3
"186","東海地震観測情報","2013/07/01",1
"187","火山の状況に関する解説情報","2013/10/01",18
"188","地方天候情報","2014/05/01",2
"189","紫外線観測データ","2014/07/01",208
"190","地方海上予報","2013/12/01",747
"191","全般週間天気予報","2014/05/01",31
"192","地方週間天気予報","2014/05/01",688
"193","異常天候早期警戒情報","2013/12/01",25
"194","府県気象情報","2014/04/01",161
"195","記録的短時間大雨情報","2014/06/01",5
"196","震度速報","2013/12/01",32
"197","火山の状況に関する解説情報","2014/05/01",10
"198","府県潮位情報","2013/01/01",8
"199","府県気象情報","2013/03/01",389
"200","震源に関する情報","2013/06/01",14
"201","府県海氷予報","2013/03/01",82
"202","記録的短時間大雨情報","2013/04/01",2
"203","全般気象情報","2012/12/01",1
"204","地方１か月予報","2013/09/01",44
"205","全般潮位情報","2013/12/01",2
"206","地方１か月予報","2013/02/01",44
"207","府県海氷予報","2014/04/01",75
"208","全般３か月予報","2014/01/01",1
"209","地方潮位情報","2014/07/01",5
"210","府県気象情報","2013/11/01",442
"211","地方潮位情報","2013/03/01",2
"212","地方気象情報","2012/12/01",1
"213","スモッグ気象情報","2013/05/01",18
"214","全般海上警報（定時）","2013/08/01",127
"215","噴火警報・予報","2013/09/01",1
"216","特殊気象報","2013/07/01",82
"217","地方潮位情報","2014/04/01",2
"218","府県週間天気予報","2013/02/01",3139
"219","全般３か月予報","2014/05/01",1
"220","全般台風情報（定型）","2013/09/01",127
"221","府県週間天気予報","2013/09/01",3366
"222","JMAXML publishing feed","2013/08/01",15721
"223","紫外線観測データ","2013/11/01",510
"224","府県天気予報","2012/12/01",65
"225","全般台風情報（定型）","2013/02/01",1
"226","噴火に関する火山観測報","2013/01/01",229
"227","地方高温注意情報","2014/05/01",2
"228","地方潮位情報","2013/11/01",9
"229","台風解析・予報情報（５日予報）","2013/07/01",18
"230","府県気象情報","2014/07/01",759
"231","生物季節観測","2013/10/01",43
"232","全般週間天気予報","2014/01/01",36
"233","地方週間天気予報","2014/01/01",687
"234","府県天候情報","2013/06/01",44
"235","紫外線観測データ","2014/04/01",510
"236","全般天候情報","2013/11/01",1
"237","地方３か月予報","2013/12/01",11
"238","火山の状況に関する解説情報","2014/01/01",19
"239","台風解析・予報情報（３日予報）","2013/08/01",305
"240","紫外線観測データ","2013/03/01",507
"241","全般１か月予報","2013/07/01",4
"242","台風解析・予報情報（３日予報）","2013/06/01",149
"243","指定河川洪水予報","2014/02/01",3
"244","気象警報・注意報","2013/01/01",3588
"245","生物季節観測","2014/05/01",144
"246","噴火警報・予報","2013/12/01",1
"247","府県週間天気予報","2013/12/01",3474
"248","府県天候情報","2013/08/01",63
"249","地方天候情報","2014/01/01",1
"250","全般海上警報（定時）","2013/06/01",120
"251","JMAXML publishing feed","2013/06/01",10671
"252","地方海上警報","2014/07/01",426
"253","地方３か月予報","2013/09/01",11
"254","全般気象情報","2013/07/01",27
"255","地方３か月予報","2013/02/01",11
"256","津波警報・注意報・予報","2013/02/01",2
"257","全般台風情報","2013/09/01",24
"258","全般３か月予報","2013/10/01",1
"259","府県天気概況","2014/07/01",3017
"260","全般気象情報","2013/01/01",20
"261","全般３か月予報","2014/03/01",1
"262","地震の活動状況等に関する情報","2014/04/01",5
"263","府県気象情報","2013/06/01",457
"264","全般３か月予報","2014/06/01",1
"265","震源に関する情報","2013/11/01",24
"266","土砂災害警戒情報","2013/07/01",282
"267","震源・震度に関する情報","2013/12/01",162
"268","竜巻注意情報","2013/12/01",72
"269","震源に関する情報","2014/04/01",15
"270","府県天気概況","2013/08/01",7793
"271","地方高温注意情報","2014/06/01",8
"272","火山の状況に関する解説情報","2014/02/01",13
"273","地方天候情報","2013/05/01",15
"274","全般１か月予報","2013/01/01",4
"275","地方海上警報","2013/08/01",600
"276","震源に関する情報","2013/03/01",17
"277","津波情報","2013/02/01",9
"278","気象警報・注意報","2013/07/01",5054
"279","全般週間天気予報","2014/02/01",33
"280","地方週間天気予報","2014/02/01",626
"281","JMAXML publishing feed","2014/07/01",6588
"282","生物季節観測","2014/06/01",87
"283","地方海上警報","2013/06/01",887
"284","火山の状況に関する解説情報","2013/05/01",14
"285","全般海上警報（定時）","2014/07/01",50
"286","府県天気概況","2013/06/01",6642
"287","台風解析・予報情報（５日予報）","2013/01/01",5
"288","噴火に関する火山観測報","2013/07/01",220
"289","生物季節観測","2014/03/01",230
"290","全般週間天気予報","2013/05/01",35
"291","地方週間天気予報","2013/05/01",695
"292","特殊気象報","2013/01/01",155
"293","震源・震度に関する情報","2013/02/01",257
"294","竜巻注意情報","2013/09/01",271
"295","台風解析・予報情報（３日予報）","2014/07/01",142
"296","震源・震度に関する情報","2013/09/01",168
"297","竜巻注意情報","2013/02/01",3
"298","生物季節観測","2013/04/01",261
"299","津波警報・注意報・予報a","2013/05/01",1
"300","府県気象情報","2013/08/01",1135
"301","全般台風情報","2013/06/01",14
"302","府県潮位情報","2013/04/01",8
"303","地方３か月予報","2013/06/01",11
"304","全般気象情報","2014/01/01",2
"305","地方気象情報","2014/05/01",50
"306","土砂災害警戒情報","2013/05/01",8
"307","府県週間天気予報","2013/08/01",3482
"308","JMAXML publishing feed","2013/09/01",12194
"309","府県天候情報","2013/12/01",4
"310","全般台風情報（定型）","2013/08/01",89
"311","JMAXML publishing feed","2013/02/01",10149
"312","全般海上警報（定時）","2013/02/01",112
"313","府県天気予報","2014/05/01",6040
"314","全般海上警報（定時）","2013/09/01",122
"315","全般海上警報（臨時）","2014/04/01",7
"316","地方天候情報","2013/07/01",16
"317","東海地震観測情報","2014/05/01",1
"318","全般海上警報（臨時）","2013/11/01",38
"319","府県潮位情報","2014/03/01",5
"320","台風解析・予報情報（３日予報）","2013/09/01",336
"321","震源・震度に関する情報","2014/07/01",74
"322","気象警報・注意報","2013/05/01",2987
"323","台風解析・予報情報（３日予報）","2013/02/01",20
"324","竜巻注意情報","2014/07/01",123
"325","噴火に関する火山観測報","2014/02/01",75
"326","季節観測","2013/11/01",93
"327","府県潮位情報","2014/06/01",15
"328","全般１か月予報","2014/01/01",5
"329","東海地震観測情報","2013/10/01",1
"330","火山の状況に関する解説情報","2013/07/01",17
"331","全般週間天気予報","2013/07/01",36
"332","地方週間天気予報","2013/07/01",686
"333","JMAXML publishing feed","2013/12/01",10712
"334","府県天候情報","2013/09/01",8
"335","気象警報・注意報","2014/02/01",3182
"336","全般海上警報（定時）","2013/12/01",126
"337","噴火に関する火山観測報","2013/05/01",129
"338","台風解析・予報情報（５日予報）","2014/01/01",4
"339","気象特別警報・警報・注意報","2014/01/01",3684
"340","全般台風情報（定型）","2013/06/01",67
"341","津波情報","2014/07/01",6
"342","府県週間天気予報","2013/06/01",3363
"343","地方気象情報","2013/10/01",288
"344","特殊気象報","2014/01/01",56
"345","噴火警報・予報","2013/06/01",1
"346","府県高温注意情報","2014/06/01",58
"347","土砂災害警戒情報","2014/02/01",10
"348","全般台風情報","2013/08/01",14
"349","府県天気予報","2013/10/01",5986
"350","全般暖・寒候期予報","2014/02/01",1
"351","地方３か月予報","2013/08/01",11
"352","異常天候早期警戒情報","2013/11/01",22
"353","地方気象情報","2014/06/01",142
"354","府県天気予報","2014/03/01",5913
"355","スモッグ気象情報","2013/07/01",66
"356","全般潮位情報","2014/04/01",2
"357","地方海上予報","2013/11/01",722
"358","火山現象に関する海上警報・海上予報","2013/11/01",3
"359","地方気象情報","2014/03/01",98
"360","府県天気予報","2014/06/01",6516
"361","全般気象情報","2014/02/01",14
"362","竜巻注意情報","2013/06/01",23
"363","全般潮位情報","2013/03/01",2
"364","震度速報","2013/11/01",33
"365","東海地震観測情報","2013/04/01",1
"366","震源・震度に関する情報","2013/06/01",177
"367","特殊気象報","2013/05/01",4
"368","指定河川洪水予報","2013/07/01",164
"369","府県天気予報","2013/04/01",5786
"370","異常天候早期警戒情報","2013/03/01",45
"371","津波警報・注意報・予報","2014/07/01",3
"372","全般週間天気予報","2013/01/01",37
"373","地方週間天気予報","2013/01/01",691
"374","震度速報","2014/04/01",22
"375","府県天気概況","2013/09/01",6591
"376","全般１か月予報","2014/02/01",4
"377","地方海上予報","2013/03/01",724
"378","府県天気概況","2013/02/01",5938
"379","全般台風情報","2014/07/01",24
"380","噴火に関する火山観測報","2014/01/01",54
"381","東海地震観測情報","2014/06/01",1
"382","地方気象情報","2013/04/01",126
"383","異常天候早期警戒情報","2014/04/01",4
"384","府県潮位情報","2014/05/01",7
"385","火山の状況に関する解説情報","2013/01/01",14
"386","府県気象情報","2013/12/01",612
"387","地方海上警報","2013/02/01",1113
"388","全般潮位情報","2013/11/01",2
"389","震度速報","2013/03/01",23
"390","地方海上予報","2014/04/01",721
"391","地方海上警報","2013/09/01",706
"392","東海地震観測情報","2014/03/01",1
"393","気象警報・注意報","2014/01/01",3684
"394","記録的短時間大雨情報","2013/07/01",23
"395","府県週間天気予報","2014/07/01",1400
"396","台風解析・予報情報（５日予報）","2014/02/01",3
"397","地方１か月予報","2014/04/01",44
"398","全般１か月予報","2013/05/01",5
"399","府県海氷予報","2013/02/01",87
"400","全般台風情報（定型）","2014/07/01",110
"401","府県潮位情報","2013/10/01",22
"402","地方１か月予報","2013/03/01",55
"403","震源・震度に関する情報","2013/08/01",198
"404","竜巻注意情報","2013/08/01",389
"405","府県天気概況","2013/12/01",6411
"406","府県気象情報","2013/09/01",921
"407","気象特別警報・警報・注意報","2014/02/01",3182
"408","府県気象情報","2013/02/01",323
"409","地方海上警報","2013/12/01",1131
"410","特殊気象報","2014/02/01",171
"411","府県高温注意情報","2014/05/01",16
"412","地方１か月予報","2013/11/01",55
"413","全般気象情報","2013/05/01",3
"414","気象特別警報・警報・注意報","2014/07/01",1998
"415","季節観測","2013/10/01",33
"416","台風解析・予報情報（３日予報）","2013/01/01",45
"417","特殊気象報","2014/07/01",207
"418","気象警報・注意報","2013/06/01",3371
"419","記録的短時間大雨情報","2013/09/01",20
"420","全般海上警報（臨時）","2013/10/01",104
"421","噴火に関する火山観測報","2013/08/01",281
"422","地方１か月予報","2013/04/01",44
"423","全般海上警報（定時）","2013/01/01",126
"424","JMAXML publishing feed","2013/01/01",10701
"425","土砂災害警戒情報","2013/06/01",34
"426","地方１か月予報","2014/06/01",44
"427","津波警報・注意報・予報","2013/05/01",1
"428","地方３か月予報","2013/05/01",11
"429","全般台風情報（定型）","2014/02/01",1
"430","府県週間天気予報","2014/02/01",3140
"431","台風解析・予報情報（５日予報）","2014/07/01",26
"432","府県気象情報","2013/07/01",970
"433","地方１か月予報","2014/03/01",44
"434","全般台風情報（詳細）","2013/10/01",55
"435","異常天候早期警戒情報","2014/03/01",50
"436","火山現象に関する海上警報・海上予報","2014/06/01",1
"437","紫外線観測データ","2012/12/01",5
"438","府県天気予報","2013/11/01",5836
"439","スモッグ気象情報","2013/09/01",8
"440","震度速報","2014/06/01",23
"441","東海地震観測情報","2014/04/01",1
"442","地方海上予報","2014/03/01",747
"443","異常天候早期警戒情報","2014/06/01",13
"444","地方３か月予報","2014/02/01",11
"445","震源・震度に関する情報","2014/01/01",147
"446","地方気象情報","2013/11/01",104
"447","竜巻注意情報","2014/01/01",14
"448","土砂災害警戒情報","2013/08/01",239
"449","震度速報","2014/03/01",18
"450","府県週間天気予報","2013/05/01",3475
"451","全般１か月予報","2014/07/01",2
"452","全般潮位情報","2013/04/01",2
"453","東海地震観測情報","2013/03/01",1
"454","地方海上予報","2014/06/01",720
"455","噴火に関する火山観測報","2013/06/01",37
"456","異常天候早期警戒情報","2013/04/01",28
"457","府県天気概況","2013/07/01",7795
"458","地方気象情報","2014/04/01",41
"459","府県天気予報","2013/03/01",5749
"460","全般潮位情報","2014/06/01",2
"461","地方海上予報","2013/04/01",724
"462","指定河川洪水予報","2013/09/01",472
"463","全般気象情報","2014/07/01",9
"464","地方海上警報","2013/07/01",754
"465","地方気象情報","2013/03/01",95
"466","府県天気予報","2014/04/01",5566
"467","気象警報・注意報","2013/08/01",5253
"468","全般潮位情報","2014/03/01",1
"469","震度速報","2013/04/01",45
"470","東海地震観測情報","2013/11/01",1
"471","土砂災害警戒情報","2014/07/01",108
"472","地方海上警報","2013/01/01",1129
"473","全般１か月予報","2013/08/01",5
"474","全般潮位情報","2013/10/01",3
"475","火山の状況に関する解説情報","2013/02/01",17
"476","火山の状況に関する解説情報","2013/09/01",20
"477","台風解析・予報情報（５日予報）","2013/06/01",21
"478","府県天気概況","2013/01/01",6488
"479","府県天候情報","2013/07/01",29
"480","全般週間天気予報","2013/02/01",30
"481","地方週間天気予報","2013/02/01",621
"482","全般週間天気予報","2013/09/01",38
"483","地方週間天気予報","2013/09/01",675
"484","震源・震度に関する情報","2013/05/01",202
"485","気象警報・注意報","2014/07/01",1998
"486","特殊気象報","2013/06/01",46
"487","竜巻注意情報","2013/05/01",20
"488","震度速報","2013/10/01",27
"489","地方１か月予報","2014/05/01",55
"490","府県週間天気予報","2014/01/01",3478
"491","地方天候情報","2013/12/01",1
"492","全般台風情報（定型）","2014/01/01",2
"493","地方海上予報","2013/10/01",746
"494","全般気象情報","2013/08/01",36
"495","異常天候早期警戒情報","2013/10/01",35
"496","地方１か月予報","2013/10/01",55
"497","震度速報","2014/05/01",17
"498","全般気象情報","2013/06/01",11
"499","竜巻注意情報","2014/02/01",36
"500","地方３か月予報","2014/01/01",11
"501","震源・震度に関する情報","2014/02/01",147
"502","火山の状況に関する解説情報","2013/12/01",16
"503","府県気象情報","2013/01/01",531
"504","噴火に関する火山観測報","2014/07/01",26
"505","府県潮位情報","2013/03/01",11
"506","全般海上警報（定時）","2013/07/01",124
"507","特殊気象報","2013/08/01",31
"508","地方海上予報","2014/05/01",750
"509","全般週間天気予報","2013/12/01",34
"510","地方週間天気予報","2013/12/01",693
"511","異常天候早期警戒情報","2014/05/01",13
"512","気象特別警報・警報・注意報","2013/08/01",1734
"513","府県潮位情報","2014/04/01",4
"514","JMAXML publishing feed","2013/07/01",15315
"515","全般潮位情報","2014/05/01",2
"516","台風解析・予報情報（５日予報）","2013/08/01",63
"517","地方天候情報","2013/09/01",3
"518","全般海上警報（臨時）","2014/03/01",15
"519","府県潮位情報","2013/11/01",21
"520","全般１か月予報","2013/06/01",4
"521","府県海氷予報","2013/01/01",61
"522","津波情報a","2014/07/01",6
"523","台風解析・予報情報（３日予報）","2013/07/01",147
"524","記録的短時間大雨情報","2013/08/01",28
"525","地方海上警報","2014/01/01",1067
"526","台風解析・予報情報（３日予報）","2014/02/01",27
"527","府県天候情報","2013/05/01",16
"528","生物季節観測","2013/11/01",115
"529","指定河川洪水予報","2013/06/01",39
"530","地方潮位情報","2013/10/01",8
"531","噴火に関する火山観測報","2013/09/01",279
"532","府県天気概況","2014/01/01",6504
"533","噴火に関する火山観測報","2013/02/01",241
"534","紫外線観測データ","2013/10/01",527
"535","全般台風情報（定型）","2013/01/01",1
"536","生物季節観測","2014/04/01",308
"537","府県週間天気予報","2013/01/01",3474
"538","震源・震度に関する情報","2013/07/01",215
"539","竜巻注意情報","2013/07/01",414
"540","気象警報・注意報","2013/12/01",3548
"541","JMAXML publishing feed","2014/02/01",9864
"542","スモッグ気象情報","2013/06/01",7
"543","生物季節観測","2013/03/01",271
"544","全般海上警報（定時）","2014/02/01",113
"545","地方天候情報","2014/07/01",1
"546","全般３か月予報","2013/11/01",1
"547","震源に関する情報","2014/06/01",17
"548","紫外線観測データ","2014/05/01",527
"549","府県気象情報","2014/01/01",277
"550","スモッグ気象情報","2013/08/01",94
"551","全般週間天気予報","2014/07/01",15
"552","地方週間天気予報","2014/07/01",279
"553","地方３か月予報","2013/01/01",11
"554","顕著な地震の震源要素更新のお知らせ","2014/03/01",1
"555","地震の活動状況等に関する情報","2013/04/01",3
"556","JMAXML publishing feed","2013/05/01",9343
"557","震源に関する情報","2014/03/01",10
"558","土砂災害警戒情報","2013/09/01",357
"559","火山の状況に関する解説情報","2014/07/01",8
"560","全般暖・寒候期予報","2013/02/01",1
"561","全般海上警報（定時）","2013/05/01",124
"562","噴火に関する火山観測報","2013/12/01",110
"563","全般暖・寒候期予報","2013/09/01",1
"564","全般３か月予報","2013/03/01",1
"565","指定河川洪水予報","2013/08/01",65
"566","津波警報・注意報・予報a","2014/07/01",3
"567","全般スモッグ気象情報","2014/05/01",1
"568","顕著な地震の震源要素更新のお知らせ","2013/04/01",1
"569","震源に関する情報","2013/04/01",22
"570","全般３か月予報","2014/04/01",1
"571","気象警報・注意報","2013/02/01",3420
"572","地震の活動状況等に関する情報","2014/03/01",1
"573","記録的短時間大雨情報","2013/06/01",1
"574","気象警報・注意報","2013/09/01",3644
"575","地方潮位情報","2014/05/01",2
"576","府県海氷予報","2014/01/01",33
"577","火山の状況に関する解説情報","2013/08/01",16
"578","台風解析・予報情報（３日予報）","2014/01/01",56
"579","府県天気概況","2014/02/01",5897
"580","全般１か月予報","2013/09/01",4
"581","地震の活動状況等に関する情報","2013/10/01",1
"582","全般１か月予報","2013/02/01",4
"583","全般週間天気予報","2013/08/01",42
"584","地方週間天気予報","2013/08/01",691
"585","気象特別警報・警報・注意報","2013/12/01",3548
"586","地方天候情報","2013/06/01",16
"587","地方海上警報","2014/02/01",1088
"588","特殊気象報","2013/12/01",197
"589","スモッグ気象情報","2014/07/01",10
"590","JMAXML publishing feed","2014/01/01",10232
"591","全般海上警報（定時）","2014/01/01",124
"592","震源に関する情報","2013/10/01",18
"593","全般台風情報","2013/07/01",12
"594","府県気象情報","2013/05/01",123
"595","全般気象情報","2013/09/01",10
"596","指定河川洪水予報","2014/07/01",63
"597","全般気象情報","2013/02/01",10
"598","地方３か月予報","2013/07/01",11
"599","地方潮位情報","2013/04/01",3
"600","全般１か月予報","2013/12/01",4
"601","震源に関する情報","2014/05/01",14
"602","紫外線観測データ","2014/06/01",510
"603","府県週間天気予報","2013/07/01",3475
"604","府県気象情報","2014/02/01",680
"605","顕著な地震の震源要素更新のお知らせ","2014/05/01",1
"606","気象特別警報・警報・注意報","2013/09/01",3644
"607","全般天候情報","2013/04/01",1
"608","地方海上予報","2012/12/01",12
"609","全般台風情報（定型）","2013/07/01",53
"610","記録的短時間大雨情報","2014/07/01",1
"611","噴火警報・予報","2013/07/01",2
"612","特殊気象報","2013/09/01",197
"613","紫外線観測データ","2014/03/01",527
"614","特殊気象報","2013/02/01",129
"615","震源・震度に関する情報","2013/01/01",188
"616","府県天候情報","2014/01/01",4
"617","全般週間天気予報","2013/06/01",39
"618","地方週間天気予報","2013/06/01",672
"619","地方潮位情報","2014/03/01",3
"620","地方天候情報","2013/08/01",15
"621","府県海氷予報","2014/02/01",86
"622","台風解析・予報情報（５日予報）","2013/09/01",56
"623","地震の活動状況等に関する情報","2014/05/01",1
"624","府県天気概況","2013/05/01",6361
"625","地方潮位情報","2014/06/01",5
"626","火山の状況に関する解説情報","2013/06/01",22
"627","紫外線観測データ","2013/04/01",502
"628","地方海上警報","2013/05/01",883
"629","全般気象情報","2013/12/01",28
"630","台風解析・予報情報（３日予報）","2013/10/01",530
"631","府県海氷予報","2014/03/01",92
"632","季節観測","2013/01/01",8
"633","地方潮位情報","2014/02/01",1
"634","府県天気予報","2013/12/01",5906
"635","地方高温注意情報","2013/06/01",7
"636","生物季節観測","2013/08/01",94
"637","地方暖・寒候期予報","2013/09/01",11
"638","全般海上警報（臨時）","2013/01/01",5
"639","府県気象情報","2013/04/01",542
"640","地方気象情報","2013/12/01",173
"641","地方暖・寒候期予報","2013/02/01",11
"642","JMAXML publishing feed","2013/10/01",12271
"643","府県海氷予報","2013/04/01",21
"644","全般海上警報（定時）","2013/10/01",125
"645","震源に関する情報","2014/01/01",10
"646","府県気象情報","2014/06/01",595
"647","紫外線観測データ","2014/02/01",475
"648","東海地震観測情報","2013/12/01",1
"649","全般３か月予報","2013/06/01",1
"650","地方１か月予報","2013/07/01",44
"651","府県気象情報","2014/03/01",390
